#|frequency	|flux	|
102.416372743	0.00558878201991	
102.414419407	0.00279358937405	
102.412466071	0.00187142763752	
102.410512735	0.00173085334245	
102.408559399	0.00132845109329	
102.406606063	0.00186450104229	
102.404652727	0.00160076178145	
102.402699391	0.000426680140663	
102.400746055	0.00055897270795	
102.398792719	0.00162689073477	
102.396839383	0.00011613559036	
102.394886047	0.00117746088654	
102.392932711	0.000767368765082	
102.390979375	0.000624676351435	
102.389026039	0.000621902523562	
102.387072703	0.000599936814979	
102.385119367	0.00063440593658	
102.383166031	0.00110710342415	
102.381212695	0.000438437826233	
102.379259359	-0.000704067235347	
102.377306023	-0.000927976972889	
102.375352687	4.70027262054e-05	
102.373399351	0.00078751827823	
102.371446015	-0.000226358184591	
102.369492679	-7.03123441781e-05	
102.367539343	-0.000176055022166	
102.365586007	-0.000311656185659	
102.363632671	-0.000163744974998	
102.361679335	0.000401258235797	
102.359725999	-0.000487774988869	
102.357772663	-0.000941411417443	
102.355819327	-0.00040430604713	
102.353865991	0.000204462499823	
102.351912655	-0.000860585307237	
102.349959319	0.000587942777202	
102.348005983	-0.000251105433563	
102.346052647	0.000121746794321	
102.344099311	0.000341984152328	
102.342145975	0.000363393279258	
102.340192639	-0.000525409064721	
102.338239303	-0.0007232510834	
102.336285967	9.84089347185e-05	
102.334332631	0.000252533616731	
102.332379295	0.000686693121679	
102.330425959	0.000534574210178	
102.328472623	0.000240808920353	
102.326519287	-0.000902920495719	
102.324565951	-0.000139790310641	
102.322612615	0.000214225874515	
102.320659279	0.000292909448035	
102.318705943	-0.000138486037031	
102.316752607	-0.000762777985074	
102.314799271	-0.000493874307722	
102.312845935	-0.000519504304975	
102.310892599	-0.000635903037619	
102.308939263	-0.000281493004877	
102.306985927	-0.000601979787461	
102.305032591	7.69895195845e-05	
102.303079255	-0.000472960760817	
102.301125919	7.56150984671e-05	
102.299172583	0.000481851573568	
102.297219247	0.000632754759863	
102.295265911	-0.000204226031201	
102.293312575	4.0585280658e-05	
102.291359239	-0.00053108955035	
102.289405903	-0.000728637271095	
102.287452567	-3.54245094059e-05	
102.285499231	-7.43282434996e-05	
102.283545895	-9.84703365248e-05	
102.281592559	-0.00041080659139	
102.279639223	8.99752049008e-05	
102.277685887	-0.00120803702157	
102.275732551	-0.000603898952249	
102.273779215	0.000152883527335	
102.271825879	0.000157605594723	
102.269872543	0.000710098363925	
102.267919207	-0.000292117067147	
102.265965871	0.000291595875751	
102.264012535	0.0007397949812	
102.262059199	-0.000236430059886	
102.260105863	-0.0012881255243	
102.258152527	0.000825906579848	
102.256199191	0.000491465732921	
102.254245855	-0.000226135263802	
102.252292519	-0.000641995226033	
102.250339183	-0.000420297757955	
102.248385847	-0.000211458449485	
102.246432511	-0.00012211050489	
102.244479175	0.000601835432462	
102.242525839	-0.0010216954397	
102.240572503	0.000111989349534	
102.238619167	-0.000320852879668	
102.236665831	-0.00142526812851	
102.234712495	-3.05978028337e-05	
102.232759159	-0.000709775253199	
102.230805823	-0.000156375361257	
102.228852487	-0.000689492444508	
102.226899151	-0.000651172478683	
102.224945815	7.63927746448e-05	
102.222992479	9.84531579888e-05	
102.221039143	-0.000987265142612	
102.219085807	-0.000125155565911	
102.217132471	0.000641506048851	
102.215179135	-0.00012634290033	
102.213225799	0.000710947264452	
102.211272463	0.000562619767152	
102.209319127	0.000586923910305	
102.207365791	0.000394955422962	
102.205412455	0.000114474831207	
102.203459119	0.00014435556659	
102.201505783	0.000524682574905	
102.199552447	0.000200506314286	
102.197599111	0.000358941819286	
102.195645775	-0.00017164023302	
102.193692439	0.000198836787604	
102.191739103	0.000687800406013	
102.189785767	-9.88278843579e-05	
102.187832431	-0.000693558948115	
102.185879095	-0.000367336382624	
102.183925759	0.000605627137702	
102.181972423	0.000400098913815	
102.180019087	0.000159375864314	
102.178065751	8.89273433131e-05	
102.176112415	0.000211161721381	
102.174159079	0.000440329167759	
102.172205743	-0.000120713950309	
102.170252407	0.000135481837788	
102.168299071	-0.000380739569664	
102.166345735	0.000725149933714	
102.164392399	0.00034514273284	
102.162439063	0.000291829230264	
102.160485727	-0.000781504495535	
102.158532391	-0.00126153870951	
102.156579055	0.000105076636828	
102.154625719	-0.000114353686513	
102.152672383	-0.000468206504593	
102.150719047	0.000441247917479	
102.148765711	0.000838747713715	
102.146812375	0.00031294618384	
102.144859039	0.000533804530278	
102.142905703	0.000773502746597	
102.140952367	0.00108616426587	
102.138999031	-0.000144345482113	
102.137045695	-0.000482230971102	
102.135092359	0.000549242948182	
102.133139023	0.000532562029548	
102.131185687	-0.000273512530839	
102.129232351	0.000342387560522	
102.127279015	0.00115550635383	
102.125325679	0.00063571985811	
102.123372343	0.00101979356259	
102.121419007	0.0012952608522	
102.119465671	0.000493889150675	
102.117512335	0.000808613491245	
102.115558999	0.00108580756932	
102.113605663	8.88627546374e-05	
102.111652327	0.000754408305511	
102.109698991	-0.000492439721711	
102.107745655	0.000278836494545	
102.105792319	-7.81190901762e-05	
102.103838983	-0.000419284246163	
102.101885647	-0.000830727862194	
102.099932311	0.000106644634798	
102.097978975	-0.000287509843474	
102.096025639	-0.00058669981081	
102.094072303	0.00031621902599	
102.092118967	-0.000175004752236	
102.090165631	-6.11106515862e-05	
102.088212295	-0.000642622529995	
102.086258959	-0.000281222572085	
102.084305623	-0.000107589745312	
102.082352287	0.000271696451819	
102.080398951	-0.000235972445807	
102.078445615	0.000640790094621	
102.076492279	0.00042493044748	
102.074538943	0.000249938311754	
102.072585607	0.000106829509605	
102.070632271	0.000292070268188	
102.068678935	-0.000629256304819	
102.066725599	-0.0004477694456	
102.064772263	-0.000832900870591	
102.062818927	-0.000158414084581	
102.060865591	0.000210553844227	
102.058912255	-0.000341696024407	
102.056958919	2.36275973293e-05	
102.055005583	0.00030085677281	
102.053052247	6.63555183564e-05	
102.051098911	-2.55021950579e-05	
102.049145575	-0.000127631545183	
102.047192239	-0.000853658013511	
102.045238903	-0.000323712156387	
102.043285567	-0.000207173172385	
102.041332231	-0.000242534661083	
102.039378895	0.000413261179347	
102.037425559	-8.10943820397e-05	
102.035472223	0.000382852245821	
102.033518887	0.000720525858924	
102.031565551	-9.57471420406e-05	
102.029612215	-5.67811694054e-05	
102.027658879	0.000230314020882	
102.025705543	-0.00061156245647	
102.023752207	-4.10844913858e-05	
102.021798871	-0.000106955150841	
102.019845535	-0.000131137581775	
102.017892199	0.000355962081812	
102.015938863	-0.00019940463244	
102.013985527	5.09825440531e-05	
102.012032191	-0.00019568882999	
102.010078855	-0.00089551822748	
102.008125519	-0.00154588127043	
102.006172183	0.000556914776098	
102.004218847	0.000541955465451	
102.002265511	-0.00142236263491	
102.000312175	-0.000646881759167	
101.998358839	-0.000540218141396	
101.996405503	-3.34872311214e-05	
101.994452167	5.86370806559e-05	
101.992498831	-0.000311694835545	
101.990545495	0.000341073115123	
101.988592159	0.00116430397611	
101.986638823	0.0017741532065	
101.984685487	0.00291079189628	
101.982732151	0.00258108507842	
101.980778815	0.00352544733323	
101.978825479	0.00330454716459	
101.976872143	0.00467135943472	
101.974918807	0.00267628440633	
101.972965471	0.00234004599042	
101.971012135	0.00159560330212	
101.969058799	0.00101033144165	
101.967105463	0.000632790790405	
101.965152127	0.0014289530227	
101.963198791	0.000658216071315	
101.961245455	0.000883444619831	
101.959292119	0.000184824151802	
101.957338783	0.000306305591948	
